#linear,groundtruth
-1*1111+1*~(x|1111)+1*(x&1111),1*~1111-1*(x^1111)
-11*~1111-1*(x|~1111)+7*~(x^1111)+5*~(x&~x)-2*~(x&1111)+2*~(x|1111)+12*(x&~1111)-8*(x&1111),3*(x|1111)
2*~(x&1111)-1*(x|1111)-7*(x^1111)-6*~(x&~1111)+2*1111+6*~(x|1111)+6*(x&~1111)+5*(x&1111),2*~x-12*~(x|~1111)
-6*(x|1111)-1*~(x^1111)+4*(x^1111)+2*(x|~1111)+5*1111+12*~(x|1111)+4*~(x|~1111)+13*(x&~1111),7*~(x&1111)+6*~1111
-1*x+1*(x|~1111)-1*~1111-2*~x+2*~(x&~x)-3*~(x|~1111)-4*(x&~1111)-5*(x&1111),-3*(x|1111)
1*x+3*1111-5*~(x&~1111)+1*(x|~1111)-1*~(x&1111)+8*~(x|1111)+6*~(x|~1111)-1*(x&~1111),3*~x
-1*~(x^1111)-2*~1111+11*(x|~1111)-2*~x-6*~(x|1111)+1*~(x|~1111)-10*(x&~1111)-11*(x&1111),-1*(x|1111)
1*~(x&~x)-6*~(x&1111)+5*~1111+1*~(x^1111)+1*(x|~1111)-2*~(x|1111)-1*(x&~1111)-3*(x&1111),-5*~(x|~1111)
-1*~1111-3*x-1*~x+7*~(x&~x)-2*~(x&1111)+8*~(x|1111)-3*~(x|~1111)+8*(x&1111),1*(x|1111)+11*~(x^1111)
1*~(x&~1111)-1*(x|~1111)+3*~(x&1111)-11*~(x&~x)+7*~(x|1111)+13*~(x|~1111)+16*(x&~1111)+11*(x&1111),7*(x^1111)-1*~x
-1*1111-5*~(x&~1111)-7*~x+7*~(x^1111)-6*~1111+11*~(x|~1111)+4*(x&~1111)-1*(x&1111),-11*~(x|1111)-2*(x^1111)
1*(x^1111)-1*x-3*~(x&1111)+1*(x|~1111)-7*~(x&~1111)+9*~(x|1111)+2*~(x|~1111)+2*(x&~1111),-7*1111
7*~(x^1111)+5*~1111-1*~(x&1111)+11*(x^1111)-16*~(x|1111)-10*~(x|~1111)-20*(x&~1111)-12*(x&1111),-5*(x|~1111)
-5*(x^1111)-1*(x|~1111)-1*~x+1*~(x&~1111)-1*x+1*~(x|1111)+4*~(x|~1111)+6*(x&~1111),-1*(x|1111)
1*~(x^1111)+2*x-1*~1111+7*~(x&1111)+2*(x|1111)-7*~(x|1111)-16*~(x|~1111)-5*(x&1111),-7*(x^1111)+17*(x&~1111)
2*1111+1*~(x&1111)+7*~(x&~1111)+1*(x|1111)-3*~(x|1111)-11*~(x|~1111)+3*(x&~1111)-5*(x&1111),5*(x|~1111)
11*~(x&~x)-1*~1111-11*~(x&~1111)-2*~(x&1111)+1*(x^1111)+1*~(x|~1111)+2*(x&~1111)+11*(x&1111),-14*~(x|1111)+11*(x|~1111)
-3*~(x^1111)+1*(x^1111)-1*~(x&~1111)+1*1111-2*~x-7*(x|1111)+6*~(x|1111)+6*(x&~1111),-10*(x&1111)-8*~(x|~1111)
-3*1111-6*~1111-2*~(x&~x)+3*~(x^1111)-5*(x^1111)+3*(x|1111)-2*~(x|1111)+3*(x&~1111),-7*~(x&1111)+1*(x&1111)
1*1111-1*~(x^1111)-7*~1111-1*(x|~1111)+12*~(x|1111)+2*~(x|~1111)+8*(x&~1111)+4*(x&1111),3*~(x&~1111)
-1*1111-1*~x+3*~1111-1*~(x&~x)-11*(x|1111)-6*(x|~1111)+5*~(x|1111)+15*(x&~1111),-19*(x&1111)-14*~(x|~1111)
-5*1111-5*~(x&1111)+1*~(x&~1111)+2*~(x^1111)+1*(x^1111)+8*~(x|~1111)+11*(x&~1111)+9*(x&1111),7*x-2*~(x|1111)
3*x+3*~1111-1*(x|~1111)-1*(x^1111)-7*(x|1111)+1*~x-8*~(x|1111)+2*~(x|~1111)+3*(x&~1111),-5*~(x&~1111)
-1*~(x&~1111)-1*1111-11*(x|~1111)+1*x+1*~1111+11*~(x|1111)+1*~(x|~1111)+8*(x&~1111)+11*(x&1111),-1*(x|1111)
4*~1111-1*(x|~1111)-5*x+3*1111+1*~x-5*~(x|1111)-4*~(x|~1111)+2*(x&~1111)+2*(x&1111),-1*~(x^1111)
11*~1111+7*~(x&~1111)-1*(x|1111)-1*~(x&~x)-11*(x|~1111)-6*~(x|1111)-6*~(x|~1111)+8*(x&~1111)+13*(x&1111),7*x-1*(x^1111)
-2*~(x&~1111)+1*~(x^1111)+3*(x^1111)+5*(x|1111)+2*x-9*~(x|1111)-11*~(x|~1111)-15*(x&~1111)-11*(x&1111),-5*(x|~1111)-5*~x
-6*~1111+4*(x|1111)-2*~(x&~x)+1*~(x&1111)+2*~(x^1111)-7*~(x&~1111)+12*~(x|1111)+4*~(x|~1111)-2*(x&~1111),-5*x+2*(x&1111)
1*(x|~1111)-5*(x^1111)+4*~1111-7*~(x&~1111)+4*~(x&1111)-2*~(x|1111)+9*~(x|~1111)-4*(x&~1111)+6*(x&1111),1*(x|1111)-1*x
-3*1111-11*(x^1111)+1*~(x&1111)-3*~1111-6*(x|~1111)+1*~x+7*~(x|1111)+12*(x&~1111)+2*(x&1111),-5*~(x|~1111)-7*(x|1111)
1*~1111-3*~(x^1111)-5*(x^1111)-11*~(x&1111)+1*x+1*~(x&~x)+9*~(x|1111)+12*~(x|~1111)+13*(x&~1111),-2*~x-1*~(x&~1111)
1*~x+2*~(x&~1111)+1*(x|1111)-11*~(x&~x)+2*~1111+1*x+6*~(x|1111)+7*(x&~1111)-4*(x&1111),-11*1111+4*~(x|~1111)
-2*(x|~1111)-2*~(x&1111)-6*~(x^1111)+11*~x-1*~(x&~1111)-1*x-14*~(x|~1111)-6*(x&~1111)+15*(x&1111),5*1111-11*(x^1111)
-3*~1111-1*x-6*(x|1111)+11*~(x&~1111)+1*(x|~1111)-6*~x-3*~(x|1111)+9*(x&~1111)-5*(x&1111),-1*~(x|~1111)
11*~(x^1111)+5*x+5*~(x&1111)+7*~(x&~x)+1*~(x&~1111)-3*(x|~1111)-21*~(x|1111)-14*(x&~1111)-21*(x&1111),13*~(x|~1111)
1*(x|~1111)+2*~(x&~1111)+5*~(x&1111)-5*x-3*(x|1111)+7*~1111-15*~(x|1111)+7*~(x|~1111)+16*(x&1111),11*1111+5*(x&~1111)
-1*~(x^1111)-1*(x|~1111)-6*~1111-3*(x^1111)-5*~x+13*~(x|1111)+8*~(x|~1111)+12*(x&~1111)+4*(x&1111),2*x
-11*x+4*~1111+5*(x|1111)-3*~(x&1111)-3*1111-1*(x|~1111)+11*~(x^1111)-11*~(x|1111)+6*(x&~1111),1*(x&1111)-1*~(x|~1111)
2*~(x&1111)-3*1111+5*~(x&~x)+3*~(x^1111)-1*x-24*~(x|1111)-11*~(x|~1111)-13*(x&~1111)-11*(x&1111),-7*~x-7*(x|~1111)
1*~(x&~1111)-3*(x|~1111)-11*~(x^1111)+5*~x-1*x+4*~(x|1111)-13*~(x|~1111)-3*(x&~1111)+10*(x&1111),-4*~(x&~x)-3*(x^1111)
-5*~x-7*~(x&~x)+2*~1111-7*(x|~1111)-7*x+13*~(x|1111)+8*~(x|~1111)+15*(x&~1111)+21*(x&1111),-4*~(x&1111)
1*~x-7*1111+7*~(x^1111)-3*(x|~1111)-3*~(x&1111)-3*x-2*~(x|1111)-2*~(x|~1111)+6*(x&1111),-11*(x^1111)+2*(x&~1111)
7*x+1*1111-6*(x^1111)+1*~1111+2*~(x^1111)-10*~(x|1111)-2*~(x|~1111)-9*(x&~1111)-17*(x&1111),-7*~(x&~x)
-11*x+2*(x^1111)+4*~(x&1111)-1*~(x^1111)+1*1111-1*(x|~1111)-2*~(x|1111)-7*~(x|~1111)+12*(x&1111),-6*(x&~1111)
7*~1111-1*~(x&~x)-3*~x+1*x+1*~(x&1111)-5*~(x|1111)+3*~(x|~1111)-9*(x&~1111)-1*(x&1111),-1*(x|~1111)
1*1111+7*~1111-11*~(x^1111)-1*~(x&~x)+1*~x+1*(x^1111)+6*~(x|1111)-5*(x&~1111)+11*(x&1111),2*~(x&1111)
11*~(x&~1111)+1*~x+5*(x^1111)+2*~1111-3*~(x^1111)+1*x-10*~(x|1111)-16*~(x|~1111)-9*(x&1111),1*~(x&1111)+7*(x&~1111)
2*(x|1111)+3*~(x^1111)+7*~(x&~1111)+1*~x-5*1111+4*~1111-22*~(x|1111)-5*~(x|~1111)-14*(x&1111),13*(x&~1111)-7*(x|~1111)
3*~(x&~x)-7*~1111-2*1111-7*x-2*~(x&~1111)+11*~(x&1111)-1*~(x^1111)-4*~(x|1111)-10*~(x|~1111),-9*(x&1111)
-2*~x-6*~1111-1*x-11*(x^1111)-1*(x|1111)+1*~(x|1111)+14*~(x|~1111)+12*(x&~1111)-5*(x&1111),-7*(x|~1111)
-1*x+1*(x|1111)+1*~x-1*~(x&1111)+1*~(x^1111)-1*~(x|1111)+2*~(x|~1111)+1*(x&~1111)+2*(x&1111),3*1111
-11*~x-3*~1111-1*(x|1111)-11*(x^1111)+1*~(x&1111)+13*~(x|1111)+22*~(x|~1111)+9*(x&~1111)-4*(x&1111),-5*x
5*~(x&1111)-5*1111-11*~1111+11*~(x&~1111)+1*(x|~1111)+2*~(x^1111)-11*~(x|~1111)+5*(x&~1111)-9*(x&1111),8*~(x|1111)
1*~(x&~1111)-3*~x+1*x-1*1111-1*~(x&1111)+3*~1111+6*~(x|1111)-3*(x&~1111)+5*(x&1111),-4*~(x|~1111)+6*~(x^1111)
-6*~1111+1*~(x&~1111)-11*x-6*~(x&~x)-2*~(x&1111)+1*~(x^1111)+14*~(x|1111)+25*(x&~1111)+15*(x&1111),-9*~(x|~1111)+2*~x
1*~1111+5*1111+5*~(x&~x)-1*~(x&1111)-2*~(x&~1111)-4*~(x|1111)-7*~(x|~1111)-6*(x&~1111)-9*(x&1111),-1*(x|~1111)
1*(x|1111)+2*~x-6*~(x&~1111)+1*(x^1111)-5*~(x&1111)-1*~(x&~x)+7*~(x|~1111)+4*(x&~1111)+5*(x&1111),-10*~(x|1111)-1*1111
-6*~(x&~1111)+1*~(x&~x)+3*(x|1111)+7*1111+1*(x|~1111)+5*~(x|1111)-12*~(x|~1111)-11*(x&~1111)-6*(x&1111),-7*(x^1111)+1*~1111
11*~x+2*~(x&~1111)-1*1111-7*~(x&~x)-6*(x^1111)+2*(x|~1111)-8*~(x|1111)+1*~(x|~1111)+9*(x&~1111),-2*(x&1111)-2*x
1*(x^1111)-6*(x|1111)+5*~(x&~1111)-2*(x|~1111)+5*~x-15*~(x|1111)-5*~(x|~1111)+7*(x&~1111)-4*(x&1111),-7*~(x^1111)
1*~1111-5*~x-5*~(x&~1111)+2*~(x^1111)+3*x-1*1111+8*~(x|1111)+12*~(x|~1111)+1*(x&1111),3*(x&~1111)+1*~(x&1111)
11*x+1*1111-1*(x|~1111)-6*(x^1111)+4*~(x&~1111)-5*~x-2*~(x&~x)-2*(x&~1111)-13*(x&1111),-8*~(x|~1111)-4*~(x|1111)
-5*~(x^1111)+3*~(x&~x)+1*x-11*~(x&~1111)+11*~1111+1*1111+1*~(x&1111)+6*~(x|~1111)+11*(x&1111),-1*~(x|1111)+16*(x&~1111)
-6*~x+7*1111+3*~(x&~1111)+1*~(x&~x)-5*(x^1111)-1*~1111+1*~(x|1111)+5*(x&~1111)-13*(x&1111),-2*~(x^1111)
-1*~(x&~x)+7*(x|~1111)-2*~x-2*~(x&~1111)-1*(x|1111)-3*~(x&1111)-2*~(x|~1111)-14*(x&~1111)-3*(x&1111),-1*~1111-11*(x^1111)
1*1111+2*~(x^1111)-5*~(x&1111)+11*~x+2*~1111+1*(x|1111)-8*~(x|~1111)+4*(x&~1111)-2*(x&1111),10*~(x|1111)+2*x
-2*~(x&~x)-1*x-6*~1111+5*~(x&1111)-3*~(x&~1111)-6*1111+4*~(x|1111)+4*~(x|~1111)+4*(x&~1111),-2*~x-12*(x&1111)
5*~1111-1*~(x&~x)-3*1111+4*(x^1111)+5*~x+5*~(x&~1111)-14*~(x|1111)-10*~(x|~1111)-8*(x&~1111),1*(x&1111)
1*~(x&~x)-2*(x^1111)+1*x-3*~(x&~1111)-1*~(x&1111)+4*(x|1111)+3*~(x|1111)+1*~(x|~1111)-3*(x&1111),3*(x&~1111)
-6*~x+2*~(x&1111)-2*~(x&~1111)-1*(x^1111)-7*(x|1111)+3*x+12*~(x|~1111)+1*(x&~1111)+4*(x&1111),-2*~(x&~x)-4*~(x|1111)
-1*~1111-3*(x^1111)-3*x+1*~(x&1111)+11*~x-11*~(x|1111)-8*~(x|~1111)+7*(x&~1111)+4*(x&1111),1*(x|1111)
-1*~(x&1111)+1*x-5*~(x^1111)+1*~(x&~x)-3*~1111+8*~(x|1111)-12*~(x|~1111)+1*(x&~1111)-9*(x&1111),-1*(x|1111)-11*1111
5*~(x^1111)-7*x-1*~(x&1111)+2*~(x&~x)-11*(x|~1111)+3*~(x|1111)-8*~(x|~1111)+12*(x&~1111)+4*(x&1111),-2*~(x&~1111)-5*(x|1111)
1*(x|~1111)+1*(x|1111)-11*~(x&~1111)-1*x+1*~1111-3*~(x&1111)+12*~(x|1111)+6*~(x|~1111)+10*(x&1111),6*(x&~1111)-7*(x^1111)
1*~(x^1111)-6*(x^1111)-1*(x|1111)+1*1111+7*~x-6*~(x|1111)+1*~(x|~1111)+9*(x&~1111)+1*(x&1111),2*~(x&~x)
1*~(x^1111)+2*~(x&~x)-1*~x-5*1111-7*(x|~1111)+5*~(x|1111)+4*~(x|~1111)+6*(x&~1111)+10*(x&1111),1*x
2*~(x&1111)-5*~(x&~x)-1*~(x^1111)+7*x+1*~1111+7*(x^1111)-4*~(x|~1111)-12*(x&~1111)-1*(x&1111),-3*~(x|1111)
-6*~(x&~1111)+3*~x+7*~(x^1111)-6*(x|~1111)+7*1111+2*~(x|1111)+7*~(x|~1111)+12*(x&~1111)-7*(x&1111),11*(x^1111)-5*x
-11*~x-11*1111+5*(x|~1111)-1*~(x^1111)-3*x+7*~(x|1111)+22*~(x|~1111)-2*(x&~1111)+11*(x&1111),1*(x|1111)-1*(x^1111)
-7*~(x&1111)-1*x+1*~(x^1111)+1*1111-7*(x^1111)-7*(x|1111)+5*~(x|1111)+21*(x&~1111)+6*(x&1111),-1*~1111-20*~(x|~1111)
-2*(x^1111)+1*(x|~1111)-3*~(x^1111)+1*(x|1111)-5*1111+1*~(x|1111)+9*~(x|~1111)-1*(x&~1111)+6*(x&1111),3*~(x&1111)-4*~1111
-2*~1111+5*1111-2*(x^1111)+1*~(x&~x)+11*x-5*~x+5*~(x|1111)-5*~(x|~1111)-13*(x&~1111)-23*(x&1111),-1*~(x&~1111)-5*(x|1111)
1*~1111+1*x-2*(x^1111)+5*(x|1111)+5*1111-5*~(x&~1111)-7*~(x|1111)-3*~(x|~1111)-16*(x&~1111)-17*(x&1111),-11*(x|~1111)
-7*1111+5*(x|~1111)+2*~1111+1*~(x&~x)-2*(x^1111)-1*~(x^1111)-1*(x|1111)-7*~(x|1111)+9*~(x|~1111)+1*(x&1111),7*(x&~1111)-2*x
1*~(x&~1111)-5*x+11*~(x&~x)+7*~(x&1111)+1*~(x^1111)+5*~x-25*~(x|1111)-25*~(x|~1111)-14*(x&~1111)-8*(x&1111),-1*(x^1111)
-7*~1111+2*(x|1111)+2*~(x^1111)-3*x-2*~x+3*~(x&1111)+1*(x|~1111)+5*1111+4*(x&~1111)-7*(x&1111),8*~(x|~1111)-3*~(x|1111)
5*(x|~1111)+1*~(x^1111)+1*~x+1*(x^1111)-11*~(x&~x)+3*(x|1111)-1*~(x|1111)+1*~(x|~1111)+2*(x&~1111)-3*(x&1111),-5*~(x&~1111)
-5*~(x&~1111)-2*(x|1111)+11*(x^1111)-1*~(x&~x)-1*x+1*1111+10*~(x|1111)+3*~(x|~1111)-10*(x&~1111)+8*(x&1111),7*~x-3*~1111
1*1111-6*~(x^1111)-3*(x|1111)+1*~(x&1111)-6*~(x&~x)-3*~1111+15*~(x|1111)+8*~(x|~1111)+10*(x&~1111)+14*(x&1111),1*~(x&~1111)-1*x
-1*(x|1111)+3*(x|~1111)+11*1111-1*~(x^1111)-3*~(x&~x)+5*~(x&1111)-2*~1111-6*x-12*~(x|~1111)-3*(x&1111),2*~(x|1111)-4*(x&~1111)
7*~(x&~x)+2*x-1*~(x^1111)+1*1111-1*(x|~1111)-1*~1111+1*(x|1111)+1*~(x|1111)-3*(x&~1111)-9*(x&1111),5*~(x&1111)+4*~(x|~1111)
1*(x^1111)+4*x+1*~1111+5*~(x&~1111)-1*~(x&~x)-1*(x|~1111)+2*~(x^1111)-1*~(x&1111)-4*~(x|~1111)-9*(x&1111),5*~(x|1111)+3*(x&~1111)
3*~(x&~1111)+5*~x-7*~1111-1*1111-11*(x|~1111)-11*(x|1111)+1*~(x^1111)+10*~(x|1111)+30*(x&~1111)+20*(x&1111),1*~(x&~x)-5*~(x|~1111)
4*~x-2*~1111+1*~(x&~x)+5*(x|1111)+1*~(x&~1111)+7*~(x&1111)-7*1111-11*~(x|1111)-15*(x&~1111)-4*(x&1111),-4*x+11*~(x|~1111)
5*(x|1111)+2*(x|~1111)-1*~1111+1*~(x&~1111)-2*1111+11*x-2*~(x|1111)+7*~(x|~1111)-17*(x&~1111)-28*(x&1111),11*~x-11*~(x^1111)
-3*~x-5*(x|1111)+7*(x|~1111)-3*~(x&~x)-1*1111+1*~(x&~1111)-1*~(x|1111)+5*~(x|~1111)-5*(x&~1111)+1*(x&1111),1*~(x&1111)-7*(x^1111)
-1*x-6*(x|1111)-7*~(x^1111)+7*(x^1111)-1*~1111-3*(x|~1111)+10*~(x|1111)-9*~(x|~1111)+3*(x&~1111)+9*(x&1111),-7*1111-1*~(x&~x)
3*(x^1111)-2*~(x&~1111)+7*x+1*~(x&~x)+7*~x-2*~(x&1111)-1*1111-6*~(x|~1111)-9*(x&~1111)+6*(x&1111),11*~(x^1111)-7*~(x|1111)
2*~x-2*1111-1*(x^1111)-1*~(x&1111)-2*~1111+2*x-3*(x|~1111)+1*~(x|~1111)+4*(x&~1111)+2*(x&1111),-3*~(x|1111)-1*~(x&~x)
-1*~x+1*~1111-11*~(x^1111)+7*(x^1111)-1*(x|1111)+1*1111-11*(x|~1111)+22*~(x|1111)+4*(x&~1111)+22*(x&1111),6*~(x|~1111)
-1*1111-1*~(x&~x)+11*x+2*~x-11*~1111+1*(x|~1111)+9*~(x|1111)-7*~(x|~1111)-7*(x&~1111)-17*(x&1111),-7*(x|1111)
-2*~(x^1111)+4*~1111-1*~(x&~x)+1*x+4*(x|1111)+1*1111+1*(x|~1111)+1*~(x|1111)-8*(x&~1111)-1*(x&1111),3*~(x&~1111)+1*(x^1111)
-1*~1111-7*~(x&1111)+3*(x|1111)+11*(x|~1111)-1*~x+7*1111-6*~(x|1111)-2*~(x|~1111)-6*(x&~1111)-25*(x&1111),-4*~(x^1111)
3*~x-3*~(x&1111)+3*(x|1111)-6*(x^1111)+2*(x|~1111)-5*~(x&~x)-6*x+3*~(x|1111)+8*~(x|~1111)+15*(x&~1111),-6*(x&1111)
1*~(x&~1111)-11*1111-1*(x^1111)+3*x+1*~(x&~x)-1*(x|~1111)+5*~(x|1111)+16*~(x|~1111)+4*(x&~1111)+7*(x&1111),6*~(x&1111)
-2*(x|1111)-2*~1111+4*~(x&~1111)+1*~(x^1111)-5*(x|~1111)-3*1111+2*~(x|1111)+4*~(x|~1111)+12*(x&~1111)+5*(x&1111),3*(x^1111)
-1*(x^1111)-5*~(x&1111)+2*~(x^1111)+4*~(x&~x)-11*x+2*1111-11*~x+10*~(x|1111)+2*(x&~1111)-8*(x&1111),-11*(x|1111)
4*(x^1111)-7*~(x&~1111)-1*(x|1111)-11*~x-7*x+1*1111+20*~(x|1111)+15*~(x|~1111)+5*(x&~1111)+15*(x&1111),1*~(x^1111)+1*~(x&1111)
5*~(x^1111)-2*~1111-1*x+3*1111-6*(x^1111)-7*~(x&~x)-11*(x|1111)+20*~(x|~1111)+24*(x&~1111)+7*(x&1111),-1*~(x&~1111)-3*(x|~1111)
7*~(x&~x)-1*(x|~1111)+2*(x^1111)+1*~1111+3*x+4*(x|1111)-1*~(x&1111)-6*~(x|1111)-15*(x&~1111)-20*(x&1111),-7*1111+19*~(x|~1111)
1*1111+1*(x|1111)+7*~(x^1111)+1*~(x&~1111)+2*(x|~1111)-2*x-3*~(x&~x)-9*~(x|1111)-4*~(x|~1111)-7*(x&1111),-2*(x^1111)-2*~x
-1*~1111+1*1111-11*(x|1111)+1*~(x&~1111)+3*(x^1111)-7*(x|~1111)+7*~(x|1111)+5*~(x|~1111)+15*(x&~1111)+17*(x&1111),1*~(x^1111)-1*~(x&1111)
-3*(x|~1111)-6*~(x&~1111)+1*1111+1*(x|1111)-5*~(x&~x)+7*~(x^1111)+11*x+10*~(x|~1111)-3*(x&~1111)-6*(x&1111),-7*~(x|1111)+1*(x^1111)
-6*~(x^1111)+7*~1111+5*~x+3*~(x&~x)-7*(x|1111)-6*~(x&~1111)+1*1111-3*~(x|1111)+4*~(x|~1111)+15*(x&1111),3*(x&~1111)
-1*~(x&~x)-11*(x^1111)-11*~1111+1*(x|~1111)-6*~x+5*~(x&~1111)-7*~(x&1111)+19*~(x|1111)+29*(x&~1111)-5*(x&1111),-20*~(x|~1111)
1*1111-2*(x|~1111)-11*~(x&~1111)+7*~1111+5*~(x&~x)-6*~(x^1111)+1*x+7*~(x|1111)-11*(x&~1111)+12*(x&1111),-5*~(x|~1111)
2*x+11*(x|~1111)-2*~1111+5*~x-6*(x^1111)-11*1111-21*~(x|1111)+4*~(x|~1111)-6*(x&~1111)-10*(x&1111),-1*(x|1111)-7*~(x&~1111)
4*1111+1*~1111-1*(x^1111)-7*~x+2*(x|1111)-11*x+6*~(x|1111)+1*~(x|~1111)+9*(x&~1111)+5*(x&1111),1*(x|~1111)-1*~(x&~x)
3*~1111-1*(x^1111)+5*1111+7*~(x&~1111)-2*~(x^1111)+4*(x|1111)-11*~(x&1111)-4*~(x|~1111)+5*(x&~1111)-14*(x&1111),-3*~(x|1111)
-5*x+11*~(x^1111)-2*~x+4*~(x&1111)+1*(x|1111)+7*1111-2*~(x|1111)-10*~(x|~1111)+11*(x&~1111)-3*(x&1111),11*(x|~1111)
1*~(x&~1111)+7*~(x^1111)-2*~(x&1111)-2*(x|~1111)+7*~x+1*(x^1111)+7*~1111+2*~(x&~x)-20*~(x|1111)-8*(x&1111),6*(x&~1111)+9*~(x|~1111)
11*~x-3*~(x&1111)+2*1111-1*~(x&~x)+5*~(x&~1111)+4*~1111-18*~(x|1111)-14*~(x|~1111)-2*(x&~1111)-8*(x&1111),-2*(x|~1111)
7*1111+3*~1111-5*(x^1111)-5*~(x^1111)+2*~x-1*~(x&~1111)+2*~(x|1111)-3*~(x|~1111)+4*(x&~1111)+1*(x&1111),1*x+1*(x|~1111)
-11*~(x&1111)-6*~(x&~1111)-3*(x|~1111)+7*x-7*~(x^1111)-1*~x+2*1111+24*~(x|1111)+16*~(x|~1111)+3*(x&~1111),-4*~1111-7*(x&1111)
2*(x^1111)-11*(x|~1111)+1*1111-1*~(x&~1111)-3*~(x&1111)-2*~(x^1111)-5*(x|1111)+10*~(x|1111)-1*~(x|~1111)+11*(x&1111),-10*(x&~1111)-7*~(x&~x)
3*(x|~1111)+4*~(x&~x)+5*1111-1*~(x&1111)+1*x+3*(x^1111)+1*(x|1111)-6*~(x|1111)-12*~(x|~1111)-14*(x&1111),11*(x&~1111)
3*~(x&1111)-7*(x|1111)+3*(x|~1111)+7*(x^1111)-1*~(x&~1111)+5*~1111+1*~(x^1111)-2*~(x|~1111)-11*(x&~1111)+4*(x&1111),11*~(x|1111)
-1*~(x&~1111)-7*~1111-11*(x|1111)-2*~(x^1111)+1*(x|~1111)-11*x-2*(x^1111)+9*~(x|1111)+30*(x&~1111)+24*(x&1111),-14*~(x|~1111)
1*~(x&~x)+1*(x|~1111)-5*~(x&1111)+11*~(x&~1111)+3*1111+3*~(x^1111)-11*~(x|1111)+1*~(x|~1111)+14*(x&~1111)-8*(x&1111),11*(x|1111)
-1*~(x^1111)+11*~(x&1111)+4*x+1*~x-5*~1111+1*(x|~1111)+4*(x^1111)-11*~(x|~1111)-10*(x&~1111)+1*(x&1111),5*(x|1111)+7*~(x|1111)
-6*~x+1*~(x^1111)-6*~(x&~1111)-1*(x|~1111)+1*x+5*(x|1111)+11*~(x|1111)+4*~(x|~1111)-6*(x&~1111)-3*(x&1111),-1*~(x&~x)-2*1111
-5*x+5*~(x&~x)+1*~1111-5*~(x&~1111)+5*~x-3*(x^1111)-5*~(x|1111)-5*~(x|~1111)-1*(x&~1111)+3*(x&1111),1*~(x^1111)-3*(x|1111)
-6*~(x&~x)+3*~(x&~1111)-6*~x-2*~(x&1111)+3*~(x^1111)-3*(x^1111)+1*1111+8*~(x|1111)+11*(x&~1111)-1*(x&1111),-13*~(x|~1111)
-2*x-5*(x|1111)-1*~(x&1111)-3*1111+7*(x|~1111)-7*~(x&~1111)+1*~(x|1111)+16*~(x|~1111)+2*(x&~1111)+9*(x&1111),-1*~(x^1111)+1*~1111
-1*(x|1111)+4*~(x^1111)-5*~(x&~1111)+1*x-7*(x|~1111)+3*~(x&~x)-3*~x+5*1111-1*(x^1111)+8*~(x|1111),-2*~(x|~1111)-5*(x&~1111)
2*~x+2*(x|1111)-1*~(x&~1111)-1*1111+1*~(x&~x)-7*x+1*~(x^1111)-3*~(x|1111)+4*(x&~1111)+5*(x&1111),3*~(x|~1111)
-2*~(x&~1111)+11*~x+2*x+1*~(x^1111)-7*(x^1111)-3*1111-14*~(x|1111)-3*~(x|~1111)+1*(x&~1111)+2*(x&1111),-4*~(x&1111)
7*~1111-11*(x|~1111)-5*~(x&~1111)-2*1111-2*~(x^1111)-6*~x+18*~(x|1111)+14*~(x|~1111)+5*(x&~1111)+20*(x&1111),1*~(x&1111)
-7*x+1*(x|~1111)-1*(x|1111)+3*~1111-1*~(x&~x)-1*~(x&~1111)+4*~(x^1111)-6*~(x|1111)+2*~(x|~1111)+4*(x&1111),-1*1111-5*(x&~1111)
1*~(x&1111)-1*~1111+5*x-5*~(x&~1111)-1*~(x^1111)-2*(x|~1111)+4*1111+2*~x+6*~(x|1111)-1*~(x|~1111),1*(x|1111)+2*(x&~1111)
-1*1111+5*(x|~1111)+11*(x|1111)+11*~(x^1111)+7*x+2*~(x&~x)-7*~(x|1111)-12*~(x|~1111)-14*(x&~1111)-35*(x&1111),11*~1111
5*(x|~1111)-7*(x|1111)+5*~(x&~1111)+2*~1111-11*~(x&1111)-6*(x^1111)+5*x+26*~(x|~1111)+19*(x&~1111)-1*(x&1111),-6*~(x|1111)+7*~(x&~x)
5*(x|1111)-2*1111+7*~x+7*~(x&~1111)-5*(x|~1111)-7*~(x&~x)+5*~(x|1111)-7*~(x|~1111)+10*(x&~1111)+2*(x&1111),-4*(x^1111)+7*~(x&1111)
-1*~(x&~1111)-7*~(x&~x)+2*(x|1111)-11*x-2*~(x^1111)-1*(x|~1111)+14*~(x|1111)+9*~(x|~1111)+17*(x&~1111)+20*(x&1111),3*~x
-1*~x+5*(x|1111)+5*x+2*~(x^1111)+3*(x^1111)-1*1111+2*~(x|1111)-6*~(x|~1111)-10*(x&~1111)-9*(x&1111),2*(x|~1111)+1*~1111
-6*1111+3*(x|1111)+3*(x|~1111)-5*~1111+4*~(x&~1111)-3*~(x&~x)+7*x+1*~(x&1111)-6*(x&~1111)-8*(x&1111),-1*~(x|~1111)
-5*~1111+2*~(x&1111)+7*(x^1111)-3*(x|~1111)-1*x-3*1111-1*~x-1*~(x&~1111)+8*~(x|1111)+8*(x&1111),4*~(x|~1111)
